lat,lon,value,tooltip
42.065554,-70.80426,236.308855674,"02359 - $4,000,000 - AcadiaSoft - $236 per person"
44.52789,-123.2791,3098.36434152,"97333 - $55,123,000 - AVI Biopharma, CenterSpace Software, Strands, writewith - $3,098 per person"
42.609887,-71.55722,418.979784225,"01450 - $4,000,000 - Harvest Automation - $418 per person"
44.608694,-123.2752,65.1529307632,"97330 - $2,649,900 - NuScale Power, Statit Solutions Group - $65 per person"
39.731237,-104.95243,50.3141566856,"80206 - $1,025,000 - beModel, BuyMyTronics, InvestorLoft, VarVee, Zerista - $50 per person"
39.758986,-104.96678,116.060014802,"80205 - $3,450,000 - BestContractors.com, EffectiveUI, Unleaded Software - $116 per person"
39.731286,-104.98306,180.042461255,"80203 - $3,124,997 - Energy Acuity, LikeMe.Net, Local Matters, Quark - $180 per person"
39.751586,-104.99699,23619.8670944,"80202 - $103,077,100 - Agent Video Intelligence, ASTECH InterMedia, Catalyst Repository Systems, Closely, CloudCenter, ... - $23,619 per person"
47.618371,-122.20308,21780.42883,"98004 - $493,326,713 - Alerts, AppInder, Apptio, Ascentium, Atigeo, ... - $21,780 per person"
47.611021,-122.16858,8446.39469834,"98005 - $144,340,439 - Action Engine, Ascentis, BlueKai, Expedia, Eyealike, ... - $8,446 per person"
47.562975,-122.1526,6904.93037473,"98006 - $243,965,000 - BigDoor Media, BuzzologySurveys, Fizmo, Light Sciences Oncology, LocalBlox, ... - $6,904 per person"
47.610935,-122.14104,3472.13367754,"98007 - $80,025,737 - Amain Infotech, AskMe Corp, Blade Games World, Centeris Corporation, DataSphere, ... - $3,472 per person"
39.63298,-106.51534,190.590831578,"81620 - $1,900,000 - Natural Cleaners Colorado - $190 per person"
39.898107,-86.18232,36.5373627071,"46260 - $1,151,000 - IndyGeek, PolicyStat - $36 per person"
40.943525,-73.88176,57.7572000314,"10701 - $3,680,000 - CYBRA, Jodange - $57 per person"
39.897548,-86.22546,1128.20955549,"46268 - $26,116,923 - Adayana, BlueLock - $1,128 per person"
30.349455,-97.73328,18.678496381,"78757 - $400,000 - Monstrous - $18 per person"
42.46617,-88.09995,5.50097726571,"60002 - $106,950 - ISpottedYou.com - $5 per person"
42.069327,-87.98464,154.199362643,"60005 - $4,500,000 - ABCi Interactive, DataCo, Peoplefilter Technology - $154 per person"
33.479467,-117.20933,49.0035935969,"92590 - $150,000 - Fundgrazing.com, PlantCML - $49 per person"
42.496679,-71.27504,7809.27821105,"01730 - $98,131,390 - Anika Therapeutics, Casenet, Empirix, GateRocket, Hologic, ... - $7,809 per person"
40.471468,-79.95726,1954.48834287,"15201 - $28,000,000 - ModCloth, Penthera Partners, RedZone Robotics, Songwhale - $1,954 per person"
38.00847,-78.47803,717.673272688,"22902 - $13,253,990 - Diffusion Pharmaceuticals, Eye Response Technologies, Hotelicopter, Inova Solutions, Internet Payment Solutions, ... - $717 per person"
42.07506,-88.02508,1972.72493353,"60008 - $46,000,000 - Adesso Solutions, Fastmobile, TicketsNow - $1,972 per person"
40.625621,-111.8158,2630.72123667,"84121 - $113,000,000 - Blue Source, Fusion-io, Mangia, mediaFORGE, Sendside Networks, ... - $2,630 per person"
33.890566,-118.23666,915.375346173,"90220 - $43,300,000 - EnLink Geoenergy, OneStop Internet - $915 per person"
37.37714,-122.12412,18062.3168526,"94022 - $333,538,743 - BestInClass.com, BruteSoft, Crowd Technologies, Fanminder, Fortressware, ... - $18,062 per person"
37.458615,-122.20009,4170.9202275,"94027 - $28,600,000 - Apparent Networks, DevHD, IncellDx, InviteShare, NutshellMail, ... - $4,170 per person"
37.353741,-122.08717,46.557102286,"94024 - $1,000,000 - Clue Hut, Rec.fm, SezWho - $46 per person"
37.451688,-122.18385,30999.11395,"94025 - $1,210,856,390 - Acclarent, Agilewaves, Apieron, Apixio, Arista Networks, ... - $30,999 per person"
45.481791,-122.64055,63.3503515009,"97202 - $2,370,000 - BIT TV, Network Redux, Revelation - $63 per person"
45.49894,-122.68781,1259.61738782,"97201 - $31,440,050 - Apogee Informatics, BlueTech, Cheetah Medical, Extensis, Giftango, ... - $1,259 per person"
43.662892,-72.36825,272.568687309,"05001 - $2,500,000 - groSolar - $272 per person"
45.52054,-122.68573,12496.4584675,"97205 - $77,628,000 - CollegeNET, FreeRange, Jama Software, Jive Software, Matradee.com, ... - $12,496 per person"
45.51854,-122.6755,28706.1501137,"97204 - $37,863,412 - Avatron Software, Conducive Technology, Elemental Technologies, GadgetTrak, iovation, ... - $28,706 per person"
39.579454,-104.88288,1703.12733666,"80112 - $36,807,988 - Ciris Energy, ControlPath, CSG Systems, DefiniteBlue Solutions, DemandPoint, ... - $1,703 per person"
45.52889,-122.68458,1585.04995683,"97209 - $12,850,000 - ActiveTrak, BrowserMob, Emerge Interactive, Empire Group, eROI, ... - $1,585 per person"
39.355957,-104.7241,802.568218299,"80116 - $3,000,000 - Synapse - $802 per person"
38.889111,-77.4363,11.6536534203,"20151 - $200,000 - BIA Financial Network, Blue Ridge Networks, Brainbench, CVG, DS3 DataVaulting, ... - $11 per person"
40.707904,-74.01342,44229.4402211,"10006 - $64,000,000 - A-1 Technology, Briteclick, CheetahMail, Email Data Source, Fog Creek Software, ... - $44,229 per person"
38.661351,-90.28434,330.716994444,"63112 - $7,500,000 - Waste Remedies - $330 per person"
38.702651,-90.36109,597.728631201,"63114 - $23,000,000 - Ridemakerz - $597 per person"
38.628402,-90.32636,491.249616211,"63117 - $4,800,000 - Integrity, Prevuu, RJ/RG LLC, Roundthird, Vibe Solutions Group - $491 per person"
40.750742,-73.99653,24393.5458694,"10001 - $422,252,279 - Advantage Media, Affinitive, Answers Corporation, ArtNeighbor, Associated Press, ... - $24,393 per person"
30.512458,-87.88559,6.81075190701,"36532 - $150,000 - RIISnet - $6 per person"
41.921126,-87.70085,17.7181099333,"60647 - $1,750,000 - PageTraffic, Sheridan Partners Corporate Development, SugarSnap, The Beer Mapping Project, The Toilet Paper, ... - $17 per person"
40.843012,-111.90581,1142.72654554,"84054 - $10,000,000 - Footnote - $1,142 per person"
43.087613,-77.6352,21.9082046226,"14623 - $600,000 - Chapman Instruments, dotSyntax, ItRunsInMyFamily.com, LakeMaster Corporation, QuoJax, ... - $21 per person"
38.019022,-122.54589,538.783845639,"94903 - $15,302,000 - Autodesk , bzhive, DAVA Consulting, Lexnet Consulting Group, PrimaDesk, ... - $538 per person"
30.403341,-91.08035,175.284837862,"70809 - $3,400,000 - Newstwit, Portico Learning Solutions, Therapeutic Peptides - $175 per person"
43.885863,-107.36569,12987.012987,"82442 - $10,000,000 - Eleutian Technology - $12,987 per person"
33.611272,-117.66681,13.3707138236,"92691 - $620,000 - SmallBusinessExpo, Vigilistics - $13 per person"
37.288807,-80.07821,280.962013936,"24153 - $10,000,000 - Reputation Armor, Synchrony - $280 per person"
42.599133,-83.15235,177.86473387,"48098 - $8,000,000 - BannerSnack, Delphi, Spinscape, TelNet Worldwide - $177 per person"
33.024721,-96.74038,144.279324773,"75075 - $5,000,000 - NetSocket, Perot Systems - $144 per person"
41.144661,-81.61948,65.9346977529,"44333 - $1,249,990 - Blue Frog Gaming - $65 per person"
33.931746,-84.37817,2655.30817742,"30328 - $76,210,000 - AirSage, CDC Software, Cox Enterprises, Draper & Associates, Ebix, ... - $2,655 per person"
39.423344,-77.38902,466.507547813,"21701 - $15,050,000 - Akonni Biosystems, Regent Education, Welocalize, Widearea Systems, Yakabod - $466 per person"
33.849853,-84.3606,24279.0697674,"30326 - $26,100,000 - Click Fox, Clickscape, Hannon Hill, Inveshare, Mobilization Labs, ... - $24,279 per person"
33.818304,-84.35779,738.297977064,"30324 - $15,000,000 - Compendr, Definition 6, Vantage Share - $738 per person"
37.635582,-122.10418,23585.8781828,"94545 - $643,776,545 - Acologix, Advanced Cell Diagnostics, Anthera Pharmaceuticals, ConXtech, Glimmerglass Networks, ... - $23,585 per person"
37.633732,-122.06101,1808.61558698,"94544 - $132,000,000 - OptiSolar R&D, Wohler Technologies - $1,808 per person"
37.317909,-122.04779,10119.734599,"95014 - $550,634,999 - Adomo, Aloki Inc., Apple, ArcSight, Baynote, ... - $10,119 per person"
40.503746,-111.96327,1412.38693392,"84065 - $47,000,000 - Linux Networx - $1,412 per person"
31.535916,-97.18588,1.33025895708,"76710 - $30,000 - Buy My Policy Online, IonLogix Systems - $1 per person"
35.083946,-106.64792,173.385878563,"87102 - $3,875,001 - Biomoda, iosil Energy, Nexicon, SpaBoom, Sevence - $173 per person"
30.411391,-91.1497,234.418495619,"70808 - $8,000,000 - TraceSecurity - $234 per person"
35.134094,-106.64073,202.07270719,"87107 - $6,220,000 - Innovasic Semiconductor - $202 per person"
35.078246,-106.61747,973.492728126,"87106 - $24,899,997 - Enerpulse, Exagen Diagnostics, Lumidigm, Reelzchannel, TruTouch Technologies - $973 per person"
39.88488,-74.90416,154.25187839,"08053 - $6,200,000 - Acsis, GlobalPrint Systems - $154 per person"
39.968962,-74.9489,258.73221216,"08057 - $5,000,000 - Conigent, Iridian Technologies - $258 per person"
39.949446,-74.90342,98.2074040924,"08054 - $3,950,000 - Celebrity Seats, ImpactRx, Inventa Technologies, TeleSciences, TimeSight Systems - $98 per person"
28.042948,-81.9849,256.975036711,"33815 - $3,500,000 - TournEase - $256 per person"
43.609434,-116.39642,21.7514247183,"83642 - $1,000,000 - Bodybuilding.com, MobileDataforce - $21 per person"
27.485617,-82.58294,942.892164566,"34205 - $30,000,000 - Tarpon Towers, The Bradenton Times - $942 per person"
43.705551,-116.36346,1538.61425452,"83616 - $23,250,000 - Answer Idaho, Sky Detective, UGOBE - $1,538 per person"
30.494623,-97.75687,245.459008346,"78717 - $2,000,000 - HealthTronics, UnboundID - $245 per person"
40.92169,-73.96482,1629.726206,"07670 - $22,500,000 - BitWine, Fleaflicker - $1,629 per person"
35.891726,-78.63203,333.960023748,"27615 - $13,500,000 - Boxt Containers, DriftToIt, Etix, SEOMic, Trackur, ... - $333 per person"
40.808416,-74.12111,4.28210287365,"07071 - $83,000 - CommuTweet, Groove Club, IncentOne, Zinkk - $4 per person"
38.06317,-122.54111,449.101796407,"94949 - $6,000,000 - MoDazzle, PAX Streamline, TimeLapse mobile - $449 per person"
37.898058,-122.54134,9166.72470228,"94941 - $263,250,000 - Brownbook.net, Checkster, Fluid Entertainment, GoLightly, Good Dog Design, ... - $9,166 per person"
40.108943,-74.85548,634.201585504,"19007 - $14,000,000 - Nitric Bio - $634 per person"
42.624015,-70.67552,217.066693093,"01930 - $6,571,260 - Free Flow Power, GroundedPower, Stimulate Solutions - $217 per person"
41.175947,-73.13515,3071.21160985,"06615 - $54,600,000 - Sikorsky Aircraft - $3,071 per person"
29.502759,-95.08906,134.20567019,"77573 - $5,600,000 - ERF Wireless, Senscient - $134 per person"
40.505253,-74.50723,133.504866859,"08873 - $5,500,000 - AEP Networks, D2 Creative, Elanti Systems, Luxmovera, Raritan - $133 per person"
30.024749,-95.53215,1684.80624538,"77379 - $77,477,500 - Eleven2, Pivot3 - $1,684 per person"
45.011215,-93.15536,365.745336747,"55113 - $14,000,000 - AbleNet, Apnex Medical - $365 per person"
45.076365,-93.19335,1154.65748862,"55112 - $52,000,000 - Galil Medical, HelpMeTy, IntriCon, MultiTech  Systems - $1,154 per person"
44.903165,-93.10026,348.36817015,"55118 - $9,500,000 - Energy Solutions International - $348 per person"
41.092196,-73.42869,10735.1392215,"06854 - $300,336,990 - HealthPrize Technologies, KAYAK, Priceline, Routefriend - $10,735 per person"
40.47997,-104.90227,5922.31318586,"80550 - $68,000,000 - Ice Energy - $5,922 per person"
41.124546,-73.43658,1176.03592338,"06850 - $20,690,000 - FreeScore, SmartEquip - $1,176 per person"
41.134896,-73.4053,14.4624310883,"06851 - $375,141 - Artists House, Interactive Mobile Advertising, webloyalty.com - $14 per person"
34.152757,-118.2658,1774.98446025,"91203 - $25,700,000 - Across Systems, AT&T Interactive, Everbridge, iScript.com, MyShape - $1,774 per person"
34.166567,-118.26994,34.1359064221,"91202 - $750,000 - Lingospot, Inc., Tenrox - $34 per person"
45.317152,-93.58117,1961.22803047,"55330 - $52,000,000 - BCSG, LLC, Cymbet - $1,961 per person"
33.468306,-86.80814,251.999739871,"35209 - $7,750,000 - DAXKO, Realtime Applications, ReSolutions LLC, Symora - $251 per person"
42.348418,-71.15349,3212.7965001,"02135 - $141,000,000 - Amicas, Brightstar Solar, Humedica, Mascoma, Rangl.Me - $3,212 per person"
42.355147,-71.13164,2356.35139558,"02134 - $50,400,000 - Artfact, Auction Holdings, DirectAthletics, Gazelle, Mimoco, ... - $2,356 per person"
41.778316,-72.62313,297.44199881,"06108 - $7,000,000 - CareCentrix, finalsite, Full Capture Solutions, Oakleaf Waste Management - $297 per person"
40.785642,-73.64006,866.458607096,"11577 - $10,550,000 - Fifth Generation Systems - $866 per person"
42.364347,-71.10431,31937.5561098,"02139 - $1,107,658,321 - Abine, Acceleron Pharma, Agios Pharmaceuticals, Agrivida, Alnara Pharmaceuticals, ... - $31,937 per person"
42.379146,-71.12803,3457.98853334,"02138 - $122,437,000 - AccelGolf, BBN Technologies, Calpurnia Corporation, CarGurus, Curis, ... - $3,457 per person"
44.976118,-89.59209,24.5288418299,"54403 - $600,000 - U.S. TrailMaps - $24 per person"
28.494931,-81.28949,613.150013415,"32822 - $31,995,394 - Pentaho - $613 per person"
30.403146,-84.18841,9.67417382556,"32311 - $250,000 - inDegree - $9 per person"
29.739029,-95.44364,10849.6869944,"77027 - $154,250,000 - CyrusOne, Impowersoft, Infovoom, NetIQ, Rudder, ... - $10,849 per person"
35.225702,-97.42394,105.108261509,"73071 - $3,000,000 - Southwest Nanotechnologies - $105 per person"
42.691091,-71.16078,254.430980206,"01843 - $5,900,000 - Amperion, Aquamer Medical , kSARIA - $254 per person"
42.683841,-71.11171,251.45209911,"01845 - $6,840,000 - Extension Engine, HAM-IT, Nexamp, TouchStone Software - $251 per person"
41.725195,-72.83032,245.654977584,"06032 - $4,000,000 - Acsys Interactive, LegiTime Technologies, SCIOinspire - $245 per person"
41.707932,-72.57085,418.518240343,"06033 - $11,311,711 - TopCoder - $418 per person"
40.700423,-80.11374,1820.10582011,"16066 - $43,000,000 - Netronome Systems, True Commerce - $1,820 per person"
47.630648,-122.34675,8931.35566238,"98109 - $143,062,455 - Adaptive TCR, Broadbandsports, BuddyTV, Comient, findwell, ... - $8,931 per person"
47.546188,-122.31514,287.424021109,"98108 - $6,100,000 - CleanScapes, Optimum Energy - $287 per person"
47.66377,-122.30118,19.2490054667,"98105 - $749,999 - BigOven, Brain Fingerprinting Laboratories, buuteeq, ClearSky Systems, Movaya, ... - $19 per person"
47.60252,-122.32855,42170.293929,"98104 - $552,219,999 - Adapx, Airbiquity, AllTrails.com, Altus Alliance, Appature Technologies, ... - $42,170 per person"
47.61067,-122.33438,29967.3418424,"98101 - $270,005,750 - Avelle, Avvo, Billing Revolution, Cdigix, Cequint, ... - $29,967 per person"
47.671346,-122.34166,2717.06542613,"98103 - $114,037,953 - AdReady, ?bermind, Banyan Branch, BlueView Technologies, Chintano, ... - $2,717 per person"
39.037605,-94.59537,5602.89482899,"64112 - $48,000,000 - Adknowledge, Cubics, OpenMethods - $5,602 per person"
37.449888,-122.12749,19400.2985291,"94303 - $882,383,778 - Accellion, AdYouNet, Agility Design Solutions, AppStream, Aragon Surgical, ... - $19,400 per person"
39.349476,-77.93415,148.898153663,"25430 - $1,000,000 - Plethora Technology - $148 per person"
37.443688,-122.15071,41080.2975411,"94301 - $664,925,696 - A9, Algo-Logic Systems, Angstro, AnsMart, appbackr, ... - $41,080 per person"
37.419389,-122.13273,17611.1429097,"94306 - $431,191,223 - AdNectar, Avvenu , Bill.com, Blippy, BlooSee, ... - $17,611 per person"
37.427039,-122.16496,2.61760526513,"94305 - $35,000 - Stanford University, Stanford Design Group, smsPREP, UpToUs, Zunavision - $2 per person"
37.397823,-122.16605,1656031.68955,"94304 - $2,821,877,999 - Aricent, Better Place, Carbylan BioSurgery, Cell Biosciences, Collarity, ... - $1,656,031 per person"
39.731237,-104.97133,621.644041219,"80218 - $11,100,076 - Double Encore, PaySimple, WealthTouch - $621 per person"
36.025405,-95.92953,15.243902439,"74137 - $350,000 - biopology, ChoicePay, mobiManage - $15 per person"
39.784622,-104.96214,70.0869077656,"80216 - $750,000 - All Copy Products - $70 per person"
39.89792,-86.28619,428.693912546,"46278 - $3,000,000 - T2 Systems - $428 per person"
43.103711,-89.51106,566.51387959,"53562 - $11,000,000 - jellyfish, Sway, SoftSwitching Technologies, Shoutlet - $566 per person"
37.574936,-122.36332,5202.51735767,"94010 - $209,807,120 - Amnestix, ANTs software, APT Pharmaceuticals, Aurora Feint, Biodesy, ... - $5,202 per person"
42.047178,-87.89058,85.3082185938,"60016 - $5,000,000 - CableMatrix Technologies - $85 per person"
42.160791,-88.15231,61.5284160828,"60010 - $2,450,000 - Concord Innovative, Page Foundry - $61 per person"
33.914614,-118.35092,1612.1375142,"90250 - $150,435,000 - Open42, Osi Systems, Space Exploration Technologies - $1,612 per person"
33.866314,-118.39968,245.691039503,"90254 - $4,590,000 - Catalist Homes, CO2Nexus, StuffBox - $245 per person"
40.790309,-111.94018,707.992448081,"84116 - $22,500,000 - ClearOne, IKANO Communications - $707 per person"
40.718113,-111.88938,18.4577522559,"84115 - $450,000 - BoomStartup, GuestSpan, KnowledgeBlue, Launch Sales and Marketing, Mobile Rider - $18 per person"
43.63123,-116.28716,107.371463969,"83704 - $4,160,000 - MetaGeek, LLC, PakSense, Perfect Computing, Telemetric - $107 per person"
40.7547,-111.88361,2428.04912346,"84111 - $25,900,000 - Infopia, Medicity, Orange Legal Technologies, The American Academy, VisualShare - $2,428 per person"
39.399639,-76.58418,180.283340435,"21286 - $3,385,000 - Electronic Compute Systems, Image America, Inc., K12 Enterprise - $180 per person"
45.45867,-122.70611,38.1045698266,"97219 - $1,400,000 - Tubaloo - $38 per person"
45.51379,-122.6458,682.038194139,"97214 - $15,500,000 - AboutUs.org, Amplify Interactive, Coaxis, Empirical , Fiver Labs, ... - $682 per person"
26.309657,-80.09541,500.500500501,"33441 - $13,500,000 - Myxer - $500 per person"
26.459571,-80.10582,94.472755782,"33445 - $2,651,000 - IFTH Acquisition, InLikeMe.com, PositiveID, Wiznet - $94 per person"
32.916865,-96.97349,3441.97268341,"75063 - $84,170,000 - Adea, BigLook360, orderTalk, Reata Pharmaceuticals, Resercom LP - $3,441 per person"
32.846645,-96.96733,240.581244286,"75062 - $10,000,000 - AdShuffle, Lanyon, RFP Express, Syntraxis, Sundance Digital - $240 per person"
33.195073,-96.60363,52.91565245,"75069 - $1,500,000 - SureBooks - $52 per person"
39.280106,-77.02052,2173.1256791,"21738 - $6,000,000 - Nano Network Engines - $2,173 per person"
41.7446,-87.71188,40.8935234882,"60652 - $1,600,000 - Fave Media - $40 per person"
41.940832,-87.65852,4.49175762476,"60657 - $300,000 - Beer Universe, FYIndOut, LeapRE, Media Chaperone, Media Next, ... - $4 per person"
42.609789,-83.04844,10.7668381385,"48314 - $180,000 - Personal Estate Manager - $10 per person"
30.006353,-90.06264,0.537253132186,"70122 - $25,000 - GCR & Associates, Instagarage - $0 per person"
33.028921,-96.68102,1931.97934227,"75074 - $72,200,000 - Adventa Control Technologies, Aldor Solutions, Applied Optical Systems, BoomerangData, Data Flow Media Systems, ... - $1,931 per person"
47.938898,-97.08401,34.9671799276,"58203 - $570,000 - Ntractive, TripCore.com - $34 per person"
41.010376,-73.67326,605.509586777,"10573 - $21,979,998 - Broadview Networks, Smartling, WHI Solution - $605 per person"
41.141456,-81.47928,13.0089761936,"44221 - $400,000 - CogCog, Inspiron Logistics Corporation - $13 per person"
38.817993,-121.2631,323.080899457,"95765 - $5,000,000 - Purple Communications - $323 per person"
38.684324,-121.06879,47.6817583216,"95762 - $1,050,000 - ArmourfendCAD, BluePoint Energy, BoardEvals, ExtendMD, Premier Power, ... - $47 per person"
31.294532,-92.46015,1.28386185646,"71301 - $30,000 - MBM Solutions - $1 per person"
40.354735,-74.99319,378.816577013,"18938 - $5,000,000 - BioLeap - $378 per person"
46.313969,-114.04819,89.7564469914,"59828 - $375,900 - AlgEvolve - $89 per person"
41.784832,-87.81,276.510067114,"60501 - $3,090,000 - Sword Diagnostics - $276 per person"
41.102587,-81.65092,2.25713253882,"44321 - $25,000 - Enkari, Ltd. - $2 per person"
37.65778,-121.73011,597.760948304,"94550 - $45,385,000 - BroadClip, Reply.com - $597 per person"
38.337243,-122.30027,344.115622849,"94558 - $22,000,000 - Inertia Beverage Group, MPMsoft - $344 per person"
38.291164,-122.28671,11.1933360604,"94559 - $301,000 - Cruvee, Custom Web Apps, Invictus Marketing - $11 per person"
42.526523,-71.75358,0.362231345086,"01453 - $15,000 - Printed Piece - $0 per person"
35.135303,-106.52223,311.172938937,"87111 - $17,000,000 - LoadStorm, Skyfuel, VF Marketing Solutions - $311 per person"
35.196446,-106.67336,163.30632498,"87114 - $5,200,000 - Novint - $163 per person"
30.425652,-97.71419,864.397622907,"78727 - $19,200,000 - FIRST ROI, HomePros, NetStreams, Opus Healthcare Solutions, Q1Media, ... - $864 per person"
38.258941,-85.55574,546.199362767,"40223 - $12,000,000 - CRS Reprocessing Services, Fellon-McCord & Associates, MyTrade - $546 per person"
38.26507,-85.61319,192.953020134,"40222 - $4,025,000 - Backupify, Beacon Enterprise Solutions, CONEXXUS, Stored Value Systems - $192 per person"
30.451348,-97.76588,366.434591425,"78729 - $9,000,000 - SnapPages, SemiSouth - $366 per person"
30.451803,-97.67989,274.598219447,"78728 - $4,750,000 - Harte-Hanks, Volacci, Xplore Technologies - $274 per person"
38.085601,-85.66979,33.0054789095,"40229 - $1,000,000 - Innovation International - $33 per person"
35.844753,-78.63263,77.8698659354,"27609 - $2,555,689 - aiMatch, Business Technology Solutions, Consert, Elsinore Technologies, Expion, ... - $77 per person"
40.821799,-74.30477,3296.28932002,"07068 - $17,500,000 - Amano USA Holdings, Expand Networks - $3,296 per person"
35.774451,-78.63274,2444.27062964,"27601 - $25,000,000 - Fragment, NovelProjects Technologies, Optimal Technologies, Peopleclick - $2,444 per person"
35.758268,-78.71783,301.70428374,"27606 - $13,100,000 - Capitol Broadcasting Company, Inlet Technologies, Magnus Health Portal, Red Hat, RHT, ... - $301 per person"
35.807458,-78.70086,1955.32251898,"27607 - $35,800,000 - CipherOptics, EOS Remediation, RealUp, Relativity Technologies, rPath, ... - $1,955 per person"
39.403178,-119.7606,43.4133296287,"89511 - $1,250,000 - Mariah Power, MyChances, Ormat Technologies - $43 per person"
41.8208,-71.41306,3409.33418968,"02903 - $31,850,000 - Andera, Creative Circle Advertising Solutions, DandyID, FuseCal, Genome, ... - $3,409 per person"
41.83635,-71.39427,96.7339979014,"02906 - $2,950,000 - BatchBlue Software, DiJiPOP, Dynadec, Perfuzia Medical, Tizra - $96 per person"
38.243299,-122.6069,6552.65991525,"94954 - $231,964,161 - Caymas Systems, Cyan Optics, Dilithium Networks, HydroPoint Data Systems, Kazak Media, ... - $6,552 per person"
38.243734,-122.69345,2302.84801203,"94952 - $73,500,000 - Beema, Enphase Energy, hoodiepeople.com, OpenClovis - $2,302 per person"
33.87507,-84.46615,5294.95627931,"30339 - $83,565,000 - CBeyond, ControlScan, HSW International, IBS Technics, iKobo, ... - $5,294 per person"
40.410155,-74.70726,1.92233756248,"08558 - $10,000 - MPGomatic.com - $1 per person"
47.491327,-122.3027,165.573879065,"98168 - $5,000,000 - pageSpike, RPI (Reischling Press) - $165 per person"
45.539473,-122.50488,56.5642853103,"97230 - $2,000,000 - Solar Nation - $56 per person"
39.951062,-75.14589,8.97236511544,"19106 - $75,000 - Batchex, Larger Than Life Prints, Maiden Media Group, Onthegig - $8 per person"
40.695552,-74.22856,138.013525325,"07205 - $3,000,000 - Glowpoint - $138 per person"
44.935315,-93.12049,1111.29914819,"55102 - $19,700,000 - GovDelivery, Internet Broadcasting, Lawson Software - $1,111 per person"
44.964852,-93.08397,19.8006281579,"55101 - $435,000 - Digitiliti, Itizen, Kinetic Data, WebproLeads - $19 per person"
33.695576,-117.80588,1753.78852375,"92606 - $30,900,000 - Atrinsic, Mojizu, Webgineers, WooMe, Zetera - $1,753 per person"
39.044855,-77.38701,27.449401603,"20165 - $750,000 - Summize, VIDIZMO, 64clicks - $27 per person"
34.848301,-82.40578,337.700937289,"29601 - $3,494,867 - Dealer Ignition, Foreign Translations, GSA Technology Council, Log for Life, NextStart, ... - $337 per person"
41.306396,-73.1292,1404.1626204,"06484 - $53,500,000 - Cara Therapeutics, CRI Technologies, CYA Technologies, Exago, Health Plan One, ... - $1,404 per person"
40.003681,-83.02148,5.13980263158,"43210 - $50,000 - ReClaims - $5 per person"
39.988114,-83.04268,257.359125315,"43212 - $4,590,000 - Affordit.com, Boundaryless Brands, BULX, ClearSaleing, Fight Launch, ... - $257 per person"
